embedding_dimension,coefficient,absolute_coefficient
149,-0.6469909742719507,0.6469909742719507
132,0.645183356570734,0.645183356570734
264,0.6447367536779071,0.6447367536779071
40,0.644119615293365,0.644119615293365
306,-0.6439695297198298,0.6439695297198298
115,0.6424617142339495,0.6424617142339495
170,0.6371529563127832,0.6371529563127832
284,0.63505771710537,0.63505771710537
152,-0.6314183050008807,0.6314183050008807
293,-0.629427383704094,0.629427383704094
186,-0.6292635500519645,0.6292635500519645
259,-0.5957995462577141,0.5957995462577141
289,-0.5904463909554938,0.5904463909554938
384,0.5855541810251473,0.5855541810251473
139,0.5844302812963803,0.5844302812963803
193,0.5769007633149477,0.5769007633149477
130,-0.5755522834579289,0.5755522834579289
89,0.5729881348266535,0.5729881348266535
169,-0.5719057248018803,0.5719057248018803
266,0.569612813761284,0.569612813761284
6,0.5663957051460088,0.5663957051460088
353,-0.56457842072437,0.56457842072437
69,0.5568104816003896,0.5568104816003896
349,0.5563365702798246,0.5563365702798246
364,-0.555813843740138,0.555813843740138
278,0.5551748156785636,0.5551748156785636
373,0.5536740776018588,0.5536740776018588
141,0.5498100836463596,0.5498100836463596
185,-0.5472571169865879,0.5472571169865879
312,0.5466858978352629,0.5466858978352629
79,-0.5458909292478414,0.5458909292478414
229,0.5413441055267424,0.5413441055267424
114,0.5399524258326602,0.5399524258326602
236,0.5377052998967055,0.5377052998967055
167,-0.5307660414665184,0.5307660414665184
112,-0.5269688737739484,0.5269688737739484
184,0.526623888730966,0.526623888730966
290,-0.5190293679544367,0.5190293679544367
124,-0.5159448589972583,0.5159448589972583
56,-0.511981155948772,0.511981155948772
252,-0.5098465822271989,0.5098465822271989
90,0.5062887463289131,0.5062887463289131
116,0.5041270502976116,0.5041270502976116
153,-0.5010964603915925,0.5010964603915925
52,0.49559678658185946,0.49559678658185946
109,-0.4854047165027122,0.4854047165027122
10,-0.4777910463057018,0.4777910463057018
34,0.4717124130246044,0.4717124130246044
330,-0.46738229432116224,0.46738229432116224
336,-0.4634512386795751,0.4634512386795751
