pr_number,commits_count,commit_authors,files_changed,additions,deletions,total_changes,max_file_changes,avg_file_changes,files_added,files_modified,files_removed,files_renamed,deletion_ratio,changes_per_commit,files_per_commit,developers_involved
327562,1,1,5.0,244.0,53.0,297.0,88.0,59.4,0.0,5.0,0.0,0.0,0.17845117845117844,297.0,5.0,1
327566,6,2,25.0,1283.0,151.0,1434.0,206.0,43.45454545454545,2.0,31.0,0.0,0.0,0.10529986052998605,239.0,4.166666666666667,2
327569,1,1,175.0,5372.0,2219.0,7591.0,1389.0,43.37714285714286,11.0,151.0,9.0,4.0,0.2923198524568568,7591.0,175.0,1
327571,2,1,4.0,55.0,32.0,87.0,30.0,14.5,1.0,5.0,0.0,0.0,0.367816091954023,43.5,2.0,1
327573,6,1,274.0,13407.0,3094.0,16501.0,4674.0,55.74662162162162,15.0,268.0,9.0,4.0,0.18750378764923337,2750.1666666666665,45.666666666666664,1
327575,2,1,3.0,36.0,6.0,42.0,21.0,10.5,0.0,4.0,0.0,0.0,0.14285714285714285,21.0,1.5,1
327576,2,1,11.0,860.0,491.0,1351.0,589.0,84.4375,1.0,15.0,0.0,0.0,0.3634344929681717,675.5,5.5,1
327583,4,3,302.0,13845.0,3939.0,17784.0,4674.0,58.5,14.0,290.0,0.0,0.0,0.22149122807017543,4446.0,75.5,3
327588,1,1,2.0,21.0,3.0,24.0,16.0,12.0,0.0,2.0,0.0,0.0,0.125,24.0,2.0,1
327590,4,2,2.0,66.0,6.0,72.0,41.0,18.0,1.0,3.0,0.0,0.0,0.08333333333333333,18.0,0.5,2
327593,1,1,1.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.5,2.0,1.0,1
327594,1,1,4.0,8.0,8.0,16.0,6.0,4.0,0.0,4.0,0.0,0.0,0.5,16.0,4.0,1
327596,1,1,7.0,48.0,0.0,48.0,24.0,6.857142857142857,1.0,6.0,0.0,0.0,0.0,48.0,7.0,1
327598,1,1,1.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.5,2.0,1.0,1
327609,1,1,2.0,6.0,6.0,12.0,8.0,6.0,0.0,2.0,0.0,0.0,0.5,12.0,2.0,1
