file_name,unique_developers_per_file,single_contributor_flag
build/azure-pipelines/oss/cargo-section4.test.ts,5,0
build/azure-pipelines/oss/merge-notices.test.ts,5,0
build/azure-pipelines/oss/merge-notices.ts,6,0
build/azure-pipelines/oss/parse-notices.ts,5,0
build/azure-pipelines/oss/platform-binary.test.ts,5,0
build/azure-pipelines/oss/run-local.ps1,5,0
build/azure-pipelines/oss/scan-licenses.ts,7,0
build/azure-pipelines/oss/section6.test.ts,5,0
build/azure-pipelines/oss/section7.test.ts,5,0
build/azure-pipelines/oss/utils.ts,5,0
build/azure-pipelines/product-build-TSA.yml,5,0
build/azure-pipelines/product-build-ado-ci.yml,74,0
build/azure-pipelines/product-build-macos.yml,2,0
build/azure-pipelines/product-build-template.yml,50,0
build/azure-pipelines/product-build-variables.yml,6,0
build/azure-pipelines/product-build.yml,104,0
build/azure-pipelines/product-compile.yml,2,0
build/azure-pipelines/product-copilot-recovery.yml,43,0
build/azure-pipelines/product-copilot-runtime-nightly.yml,1,1
build/azure-pipelines/product-copilot.yml,33,0
build/azure-pipelines/product-npm-package-validate.yml,2,0
build/azure-pipelines/product-publish.yml,31,0
build/azure-pipelines/product-quality-checks.yml,95,0
build/azure-pipelines/product-release.yml,3,0
build/azure-pipelines/product-sanity-tests.yml,2,0
build/azure-pipelines/product-smoke-flaky.yml,90,0
build/azure-pipelines/product-validation-checks.yml,1,1
build/azure-pipelines/publish-types/check-version.js,1,1
build/azure-pipelines/publish-types/publish-types.yml,30,0
build/azure-pipelines/publish-types/update-types.js,1,1
build/azure-pipelines/publish-types/update-types.ts,1,1
build/azure-pipelines/update-dependencies-check.ts,3,0
build/azure-pipelines/upload-cdn.js,1,1
build/azure-pipelines/upload-cdn.ts,4,0
build/azure-pipelines/upload-nlsmetadata.js,1,1
build/azure-pipelines/upload-nlsmetadata.ts,4,0
build/azure-pipelines/upload-sourcemaps.js,1,1
